school,child rate 1km,child rate outside,pedestrian rate outside,population
St Nicholas Catholic Primary School,1,0,3,0,4
St Matthew's CofE Primary School,3,0,1,0,4
St Jude's Catholic Primary School,3,1,0,0,4
St John's and St Peter's CofE Academy,3,0,1,0,4
"St James Church of England Primary School, Handsworth",3,0,0,1,4
"St George's Church of England Academy, Newtown",3,0,0,1,4
St Edmund's Catholic Primary School,3,0,1,0,4
St Bernard's Catholic Primary School,3,0,0,1,4
St Alban's Catholic Primary School,3,1,0,0,4
Slade Primary School,3,0,0,1,4
Selly Park Technology College for Girls,1,1,0,2,4
Oscott Manor School,3,1,0,0,4
Oasis Academy Short Heath,3,0,0,1,4
Oasis Academy Hobmoor,3,0,0,1,4
Oasis Academy Foundry,3,0,1,0,4
Norfolk House School,3,0,1,0,4
Mere Green Primary School,3,0,0,1,4
Maryvale Catholic Primary School,3,1,0,0,4
Manor Park Primary Academy,3,0,0,1,4
Lyndon Green Junior School,3,0,0,1,4
Lyndon Green Infant School,3,0,0,1,4
Longwill A Primary School for Deaf Children,1,0,3,0,4
Kitwell Primary School and Nursery Class,3,1,0,0,4
Kings Norton Junior and Infant School,3,0,0,1,4
King Solomon International Business School,3,0,0,1,4
King Edward VI Camp Hill School for Girls,1,0,0,3,4
Jewellery Quarter Academy,3,0,0,1,4
James Brindley School,3,1,0,0,4
Hollywood Primary School,3,0,0,1,4
Hill West Primary School,3,0,0,1,4
Hamstead Hall Academy,1,0,0,3,4
Four Oaks Primary School,3,0,0,1,4
Four Dwellings Primary Academy,1,1,1,1,4
"Eden Boys' School, Birmingham",3,0,0,1,4
Corpus Christi Catholic Primary School,3,0,0,1,4
City of Birmingham School,3,0,0,1,4
Chilcote Primary School,3,0,0,1,4
Chad Vale Primary School,3,0,0,1,4
Cedars Academy,3,0,0,1,4
CUL Academy Trust,3,0,1,0,4
Bishop Vesey's Grammar School,1,0,0,3,4
Birchfield Independent Girls' School,3,0,1,0,4
Birches Green Junior School,1,0,3,0,4
Birches Green Infant School,1,0,3,0,4
Bellfield Junior School,1,0,3,0,4
Beeches Junior School,3,0,0,1,4
Beeches Infant School,3,0,0,1,4
Banners Gate Primary School,3,0,0,1,4
Balaam Wood School,3,0,0,1,4
Avecinna Academy,3,0,1,0,4
Archway Academy,3,0,1,0,4
Yew Tree Community Junior and Infant School (NC),1,0,1,1,3
Whitehouse Common Primary School,1,0,0,2,3
Welsh House Farm Community School and Special Needs Resources Base,3,0,0,0,3
Values Academy,3,0,0,0,3
The Shrubbery School,3,0,0,0,3
The Shirestone Academy,3,0,0,0,3
The Meadows Primary School,1,0,0,2,3
Sutton Coldfield Grammar School for Girls,0,0,0,3,3
St Mary's Church of England Primary School,1,1,0,1,3
St Joseph's Catholic Primary School,1,1,1,0,3
St John and Monica Catholic Primary School,3,0,0,0,3
St John Fisher Catholic Primary School,3,0,0,0,3
St Georges Academy,3,0,0,0,3
St Francis Church of England Aided Primary School and Nursery,3,0,0,0,3
St Edward's Catholic Primary School,1,0,1,1,3
Riverside Education,3,0,0,0,3
Raddlebarn Primary School,1,0,1,1,3
Priestley Smith School,3,0,0,0,3
Penns Primary School,3,0,0,0,3
Nonsuch Primary School,3,0,0,0,3
New Hall Primary and Children's Centre,1,0,1,1,3
National Institute for Conductive Education,3,0,0,0,3
Moseley Church of England Primary School,3,0,0,0,3
King Edward VI Camp Hill School for Boys,1,0,0,2,3
Holy Cross Catholic Primary School,3,0,0,0,3
Holly Hill Methodist CofE Infant School,3,0,0,0,3
Hodge Hill Girls' School,1,0,0,2,3
Gossey Lane Academy,3,0,0,0,3
Forestdale Primary School,3,0,0,0,3
Flexible Learning Centre,3,0,0,0,3
Fairway Primary Academy,3,0,0,0,3
Dorrington Academy,1,0,0,2,3
Cromwell Junior and Infant School,3,0,0,0,3
Court Farm Primary School,3,0,0,0,3
Brownmead Primary Academy,3,0,0,0,3
Braidwood School for the Deaf,3,0,0,0,3
Birmingham Muslim School,3,0,0,0,3
Baskerville School,3,0,0,0,3
Woodthorpe Junior and Infant School,1,1,0,0,2
Walmley Junior School,1,0,0,1,2
Walmley Infant School,1,0,0,1,2
The Priory School,1,0,0,1,2
The Orchards Primary Academy,1,0,1,0,2
The Oaks Primary School,1,0,0,1,2
St Laurence Church Junior School,1,0,0,1,2
St Laurence Church Infant School,1,0,0,1,2
St Columba's Catholic Primary School,1,0,1,0,2
Severne Junior Infant and Nursery School,1,0,0,1,2
